image,name,category,location,color,size,amount,comments,claimed,hidden
"('src', 'https://drive.google.com/thumbnail?id=1RKZnvu7NNwdCZUKg3Yq7FDyE8oNFDrsP&sz=w200-h200')",Oil base sticks G1,Make-up,38 - Make-up drawer 1 - Make-up base,G1,,4,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1YlOaLjHcWXLT_j86g2NS1fkWgDKydOhY&sz=w200-h200')",Setting powder,Make-up,38 - Make-up drawer 1 - Make-up base,Translucent ,,4,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1A4FIrdkf-AtpbrweWJ3mXos-qp8-2ADN&sz=w200-h200')",Bronzing and pink box,Make-up,38 - Make-up drawer 1 - Make-up base,,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1uCKZEPo4-CRF6LfXGPO53gb0Igx8eX6R&sz=w200-h200')",Headbands,Make-up,38 - Make-up drawer 1 - Make-up base,,,9,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1EYVmlZBzQf-q1lLRNu4sbkCf1aOyuFfD&sz=w200-h200')",Orange blush,Make-up,38 - Make-up drawer 1 - Make-up base,Orange,,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1HY0B_wmmKQnPCZTSULWcLClRS0skniAM&sz=w200-h200')",Red blush,Make-up,38 - Make-up drawer 1 - Make-up base,Red,,3,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1_8bZJFOPKob7ZF11bBoAhCNrd2-dArLL&sz=w200-h200')",Lipstick towers,Make-up,38 - Make-up drawer 1 - Make-up base,,,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1xY5LQf2weYaJOji_xoOp5-UfymseRvFk&sz=w200-h200')",Eyebrow pencils,Make-up,38 - Make-up drawer 1 - Make-up base,Multi,,8,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1QEVm_jjH0qRNSEaiLfK3hekc4bHexDph&sz=w200-h200')",Pencil sharpeners ,Make-up,38 - Make-up drawer 1 - Make-up base,,,3,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1D4Jx8P_KG3qC9V1I5eUPie4p2pZCZiuI&sz=w200-h200')",Oil base palette several skin colors,Make-up,38 - Make-up drawer 1 - Make-up base,Multi,,6,"Colors: G3, R1, W2, W4, and 2 semi-darker but no marking telling us which colors they are",None,0
"('src', 'https://drive.google.com/thumbnail?id=1i2tpBG1tLpSya1j9jLQ0OUxcodpptQt8&sz=w200-h200')",Kohl pencil white,Make-up,38 - Make-up drawer 1 - Make-up base,White,,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1bqzdQaIrdXjH7W26gNQ_bW77BWISaQmz&sz=w200-h200')",Kohl pencil grey,Make-up,38 - Make-up drawer 1 - Make-up base,Grey,,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=18y5_eVtYrmeSsuUx6Q0X2vNFt8HmJDy6&sz=w200-h200')",Kohl pencil green,Make-up,38 - Make-up drawer 1 - Make-up base,Green,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1A_7fyIACBx46wZFFOcGAOIpb5URycVTP&sz=w200-h200')",Kohl pencil brown,Make-up,38 - Make-up drawer 1 - Make-up base,Brown,,3,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1m81PEG6IIW5kXyIts_MJKNPxIlcv9daX&sz=w200-h200')",Kohl pencil black,Make-up,38 - Make-up drawer 1 - Make-up base,Black,,3,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1LuJG_VCRqO2Cp0BM2TOtokJDe5oslMCJ&sz=w200-h200')",Lipliner pencil red,Make-up,38 - Make-up drawer 1 - Make-up base,Red,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1Sn7VWFp5zs86t_YhmYF4sYfXA4rpCkDP&sz=w200-h200')",Liquid eyeliner black,Make-up,38 - Make-up drawer 1 - Make-up base,Black,,4,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1Nn68P0EepT_xfcr5V45pKpSRaRKyvDcX&sz=w200-h200')",Eyeliner pen black (liquid tip),Make-up,38 - Make-up drawer 1 - Make-up base,Black,,3,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1J1Gq3y-9Be3V8gFhGkLDD__aOtUZcpTV&sz=w200-h200')",Eyeliner pen brown (liquid tip),Make-up,38 - Make-up drawer 1 - Make-up base,Brown,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1x1hLPIhNZRx-UCS5n_hU9uM1jA1PGxER&sz=w200-h200')",Eyeliner pencil black,Make-up,38 - Make-up drawer 1 - Make-up base,Black,,3,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1oD4k2Dld8YcGAskvzTkcSQS1JWjBHe8z&sz=w200-h200')",Eyeliner pencil brown,Make-up,38 - Make-up drawer 1 - Make-up base,Brown,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1lQgkLbCqbKbiYYQ-a56aXR8s50ZPpPdW&sz=w200-h200')",Eyeliner jar black,Make-up,38 - Make-up drawer 1 - Make-up base,Black,,6,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1dZfNJukKKvx5mjLnA1wyAGZNCmsSxfSx&sz=w200-h200')",Bronzing Miss Helen,Make-up,38 - Make-up drawer 1 - Make-up base,Multi,,6,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1yVU4aGWlF2W8vOMinIoV2r5c6__n1mo_&sz=w200-h200')",apron,Aprons,1 - Profession specific props,black,,1,has a white logo on it,None,0
"('src', 'https://drive.google.com/thumbnail?id=1JvsTX-TfNT5bdtNwhY0UW-gw37u80QTp&sz=w200-h200')",White fans,Handheld,1 - Profession specific props,White,Small,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1jlJz27E5j48dPKIsk6pByWJKqptWDhbi&sz=w200-h200')",Cigarette holder,Handheld,1 - Profession specific props,Black,Long,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1gaBG0PJdUwJL1wk6-M8lE3P6zAArDnHb&sz=w200-h200')",Stethoscope,head_other,1 - Profession specific props,Black Grey Silver,,1,Made of plastic,None,0
"('src', 'https://drive.google.com/thumbnail?id=1qcM2BRO9EMN2NJUYzbSu7uq4YDbfjPc5&sz=w200-h200')",shaving blade,Handheld,1 - Profession specific props,,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1w51pKbUdGpTceIcjJdqN7HPOWwh3WxsD&sz=w200-h200')",Head mirror (doctor),head_other,1 - Profession specific props,Silver,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1gfITAXrE_4BnOpipP85nKdqekplHlwhy&sz=w200-h200')",bretels (sparkly),Accessories (belts etc.),2 - below the waist accessories,silver,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=&sz=w200-h200')",,,,,,,,,
"('src', 'https://drive.google.com/thumbnail?id=1rK0yPy5dhFo6RuSmu6i6Dpr5HoqoR6Gv&sz=w200-h200')",Leather belt (knotted),Accessories (belts etc.),2 - below the waist accessories,Dark brown,,,You have to knot it,None,0
"('src', 'https://drive.google.com/thumbnail?id=15vm1fFEBWwBRVr2yPfs7636X1V4KDaxC&sz=w200-h200')",belt (fabric),Accessories (belts etc.),2 - below the waist accessories,black,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1W7X50fJZ-_uhEJSi3J7JIAGAiaCApWCY&sz=w200-h200')",Black leather belt,Accessories (belts etc.),2 - below the waist accessories,Black,,,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1dcz245y0cjA11ITnkAF-C9AWk7ddS4CP&sz=w200-h200')",Dark brown leather belt,Accessories (belts etc.),All,Dark Brown gold,,,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1gDqQS6WcefYCaf8AnccveaYoMJNkLruK&sz=w200-h200')",tights matt,Tights,2 - below the waist accessories,matt,M,5,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1CmDwYEUKPTuEuHknhgniTKjWGUfz-yXL&sz=w200-h200')",Thin leather belt,Accessories (belts etc.),2 - below the waist accessories,Brown,,,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1vuDDntMHYfNkLVFw9TCMlAYsGLLOHfsZ&sz=w200-h200')",tights fishnet,Tights,2 - below the waist accessories,black,S/M,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1N55WvioysKHzLTtIXCMth_NvKYsa2Gwu&sz=w200-h200')",Black garter,Accessories (belts etc.),All,Black,,,What people put around their leg at weddings so their partner can pull it of with their teeth,None,0
"('src', 'https://drive.google.com/thumbnail?id=11pcQ0iQL2RVXrsKcPPbGjXDP6HbFRTjM&sz=w200-h200')",tights mousse,Tights,2 - below the waist accessories,navy,40-44,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=&sz=w200-h200')",,,,,,,,,
"('src', 'https://drive.google.com/thumbnail?id=1B6jEkSB-KjuQN6PxcBmTuKX8zoSPJFt_&sz=w200-h200')",Maleficent horns,head_other,3 - face accessories,Black sparkly,,,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1eD9XInwTUgHkYf33_sAF62794iLRbjtw&sz=w200-h200')",Headband with bow,head_other,All,Light blue,,,,None,0
"('src', 'https://drive.google.com/thumbnail?id=17mhx_9ANTQuPwZ7OPAm3UV2dUTKYdVnQ&sz=w200-h200')",carnaval masks,Mask,3 - face accessories,"black, white, pink, red",,4,only the pink one still has binds,None,0
"('src', 'https://drive.google.com/thumbnail?id=1xpjrkp3l1TGFdpgfHlTCfBJi8u5I9vyx&sz=w200-h200')",Black lace veil keffiyeh headdress,head_other,3 - face accessories,Black,,,The name has aliexpress vibes,None,0
"('src', 'https://drive.google.com/thumbnail?id=1YIchimWn7fnxKChfcjL0qwOFygyjmHem&sz=w200-h200')",mask,Mask,3 - face accessories,gold,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1PeIVP0_NFM_s7YKXJyxOPtzobQLBU3mL&sz=w200-h200')",checkered headband,head_other,3 - face accessories,red/white,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1NMpwaJBdO75x4PaeSJcDYZkloEormQMt&sz=w200-h200')",Dark sunglasses ,Glasses,3 - face accessories,Black,,4,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1j1-SqHo0FZPBBQsHZE5C9ehVeGPZg7mV&sz=w200-h200')",3D glasses without glass,Glasses,3 - face accessories,Black,,18,A few different types but all alike,None,0
"('src', 'https://drive.google.com/thumbnail?id=1cbsuhl1fTLv72Ee1eb9lI094OwBbGzHb&sz=w200-h200')",pirate eye patch,Prosthetics ,3 - face accessories,black,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1L6wOxjE9tirfNF8TmXrzZ8Din3q8Z9gq&sz=w200-h200')",clip earring,head_other,3 - face accessories,gold&black,,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1eEE4QTtLv_jabaK8BD9locfGfl8mnw8f&sz=w200-h200')",Round glasses thick glass,Glasses,3 - face accessories,Black ,,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1HGNsvH3W9CsWHh5I_pqGB5Th5IVhuYEc&sz=w200-h200')",headband,head_other,3 - face accessories,white,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1r_wqTOIRD98VofEncWTdw6MGy0buYoVX&sz=w200-h200')",Blue sunglasses ,Glasses,3 - face accessories,Blue,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1Gzw40ZJl9erdJJkwvkTzSBOyAboHJcr5&sz=w200-h200')",Round old man glasses,Glasses,3 - face accessories,Gold,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1i9KDj9wEkRzvx7obgtRCcRMEs_0QJdgM&sz=w200-h200')",carnaval masks,Mask,3 - face accessories,black / red,,,,None,0
"('src', 'https://drive.google.com/thumbnail?id=15DexQjoQGy3vpSn6u-PqhoXGsRBLt027&sz=w200-h200')",Glasses,Glasses,3 - face accessories,Brown,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1uMVe10XcmaYQCocCcucGtP1wqgq5SK1C&sz=w200-h200')",Maid bonnets,head_other,3 - face accessories,White,,3,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1kzv5Xy2KgcIOJ1dLZ5I8cVtk1-zw-MY8&sz=w200-h200')",3D glasses,Glasses,3 - face accessories,Yellow ,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1HoYtYIm7EuuQAb-q9-aHLaFfW4v9VGKn&sz=w200-h200')",Flower butterfly shawl,Accessories (belts etc.),All,Pink purple white,,,Very beautiful,None,0
"('src', 'https://drive.google.com/thumbnail?id=1_uvWwWJE1-cgSFDRsiuFiKwlRZoeHkzZ&sz=w200-h200')",Blue grey polka dot shawl,Accessories (belts etc.),4 - Neck accessories,Blue grey white,,,,None,0
